fixed acidity,volatile acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,alcohol,quality
7,0.27,20.7,45,170,8.8,6
6.3,0.3,1.6,14,132,9.5,6
8.1,0.28,6.9,30,97,10.1,6
7.2,0.23,8.5,47,186,9.9,6
7.2,0.23,8.5,47,186,9.9,6
8.1,0.28,6.9,30,97,10.1,6
6.2,0.32,7,30,136,9.6,6
7,0.27,20.7,45,170,8.8,6
6.3,0.3,1.6,14,132,9.5,6
8.1,0.22,1.5,28,129,11,6
8.1,0.27,1.45,11,63,12,5
8.6,0.23,4.2,17,109,9.7,5
7.9,0.18,1.2,16,75,10.8,5
6.6,0.16,1.5,48,143,12.4,7
8.3,0.42,19.25,41,172,9.7,5
6.6,0.17,1.5,28,112,11.4,7
6.3,0.48,1.1,30,99,9.6,6
6.2,0.66,1.2,29,75,12.8,8
7.4,0.34,1.1,17,171,11.3,6
6.5,0.31,7.5,34,133,9.5,5
6.2,0.66,1.2,29,75,12.8,8
6.4,0.31,2.9,19,102,11,7
6.8,0.26,1.7,41,122,10.5,8
7.6,0.67,1.5,25,168,9.3,5
6.6,0.27,1.3,16,142,10,6
7,0.25,9,56,245,10.4,6
6.9,0.24,1,35,146,10,6
7,0.28,8.7,32,141,10.5,6
7.4,0.27,1.1,17,132,11.6,6
7.2,0.32,2,37,114,12.3,7
8.5,0.24,10.4,20,142,10,6
8.3,0.14,1.1,7,47,10.2,6
7.4,0.25,2.05,31,100,10.8,6
6.2,0.12,1.5,43,117,9,6
5.8,0.27,14.95,22,179,10.2,5
7.3,0.28,1.7,21,123,12.8,5
6.5,0.39,5.4,25,149,10,5
7,0.33,1.2,38,138,11.2,6
7.3,0.24,17.95,45,149,8.6,5
7.3,0.24,17.95,45,149,8.6,5
6.7,0.23,2.5,63,158,9.4,6
6.7,0.24,2.9,63,157,9.4,6
7,0.31,7.4,28,160,9.8,6
6.6,0.24,1.4,33,152,9.5,6
6.7,0.23,1.4,33,154,9.5,6
7.4,0.18,1.4,38,167,10,7
6.2,0.45,4.4,63,206,9.8,4
6.2,0.46,4.4,62,207,9.8,5
7,0.31,7.4,28,160,9.8,6
6.9,0.19,5,32,150,9.8,5
7.2,0.19,1.6,31,173,11.7,6
6.6,0.25,1.1,39,124,11,7
6.2,0.16,1.1,21,82,10.9,7
6.4,0.18,1,39,108,10.9,6
6.8,0.2,0.9,38,132,9.1,6
6.9,0.25,1.3,29,191,11,6
7.2,0.21,11.9,37,213,9.6,6
6,0.19,12.4,50,147,8.9,6
6.6,0.38,4.6,25,78,10.2,6
7.4,0.2,1.2,44,111,9.9,6
6.8,0.22,4.9,30,123,8.6,6
6,0.19,12.4,50,147,8.9,6
7,0.47,1.1,17,151,10.5,5
6.6,0.38,4.6,25,78,10.2,6
7.2,0.24,1.4,31,122,10.3,6
6.2,0.35,1.2,29,120,9.1,5
6.4,0.26,6.4,27,124,12.6,7
6.7,0.25,1.2,81,174,9.8,5
6.7,0.23,2.1,30,96,10.7,8
7.4,0.24,10.1,21,105,9.5,5
6.2,0.27,7.8,48,244,9,6
6.8,0.3,4.6,50.5,238.5,9.5,5
6,0.27,4.8,31,201,10,5
8.6,0.23,1,9,72,9.1,6
6.7,0.23,2.1,30,96,10.7,8
7.4,0.24,10.1,21,105,9.5,5
7.1,0.18,1.4,31,87,12.7,7
7,0.32,1.3,20,69,12,7
7.4,0.18,8.8,26,103,9.3,5
6.7,0.54,5.4,21,105,9,5
6.8,0.22,1.4,34,114,10.6,6
7.1,0.2,16,51,166,9.2,6
7.1,0.34,6.1,47,164,10,5
7.3,0.22,8.2,42,207,9.5,6
7.1,0.43,11.8,54,155,8.7,5
7.1,0.44,11.8,52,152,8.7,6
7.2,0.39,11,55,156,8.7,6
6.8,0.25,13.3,69,202,9.7,6
7.1,0.43,11.8,54,155,8.7,5
7.1,0.44,11.8,52,152,8.7,6
7.2,0.39,11,55,156,8.7,6
6.1,0.27,7.5,65,243,9,5
6.9,0.24,1.7,47,136,12.6,7
6.9,0.21,1.8,48,136,12.6,7
7.5,0.17,1.7,51,148,11.5,7
7.1,0.26,12.4,62,240,9.2,6
6,0.34,15.9,26,164,8.8,6
8.6,0.265,1.2,15,80,11.4,7
9.8,0.36,10.5,4,83,10.1,4
6,0.34,15.9,26,164,8.8,6
7.4,0.25,13.5,52,192,9.1,5
7.1,0.12,9.6,64,162,9.4,5
6,0.21,12.1,55,164,9.4,5
7.5,0.305,18.9,44,170,9,5
7.4,0.25,13.5,52,192,9.1,5
7.3,0.13,14.4,34,109,9.2,6
7.1,0.12,9.6,64,162,9.4,5
7.1,0.23,16.5,60,171,9.1,6
7.1,0.23,16.5,60,171,9.1,6
6.9,0.33,1.3,37,187,10.3,5
6.5,0.17,8.5,64,163,8.8,6
7.2,0.27,18.75,45,255,8.9,5
7.2,0.31,13.3,68,195,9.2,5
6.7,0.41,9.2,29,150,9.1,5
6.7,0.41,9.2,29,150,9.1,5
5.5,0.485,1.5,8,103,9.7,4
6,0.31,3.3,25,143,11.3,6
7,0.14,1.7,16,85,11.8,6
7.2,0.31,13.3,68,195,9.2,5
7.3,0.32,13.3,57,196,9.2,5
5.9,0.36,5.7,21,87,10.2,5
7.8,0.24,12.2,42,138,8.8,5
7.4,0.16,6.85,31,131,9.7,5
6.9,0.19,5,14,146,9.1,6
6.4,0.13,1.6,40,158,9.8,6
6.7,0.19,1.1,63,143,11,6
7.4,0.39,7,29,126,10.5,5
6.5,0.24,7.6,48,203,9.7,7
6.1,0.3,2.8,47,179,10.9,7
6.1,0.3,2.7,46,184,10.9,6
5.7,0.26,10.4,7,57,10.6,5
6.5,0.24,7.6,48,203,9.7,7
6.5,0.425,13.1,59,241,9,5
6.6,0.24,15.8,46,188,9.2,5
6.8,0.27,8.1,55,203,8.9,5
6.7,0.27,15.7,44,179,9.6,5
8.2,0.23,1.2,36,121,10.7,6
7.1,0.37,10.5,49,155,8.7,5
6.8,0.19,1.9,30,96,10.8,7
8.1,0.28,1.9,18,79,11.8,6
6.3,0.31,2.2,20,77,10.2,5
7.1,0.37,10.5,49,155,8.7,5
7.9,0.21,1.2,38,107,10.8,6
8.5,0.21,4.3,24,99,9.7,6
8.1,0.2,2,19,87,11.2,6
6.3,0.255,1.1,37,114,10.9,6
5.6,0.16,1.4,53,168,10.1,6
6.4,0.595,5.2,15,97,9,4
6.3,0.34,4.6,19,80,12,7
6.9,0.25,4.1,23,116,9.4,6
7.9,0.22,8,46,152,11.5,7
7.6,0.18,10.2,58,135,9.9,6
6.9,0.25,4.1,23,116,9.4,6
7.2,0.18,1.2,41,97,10.4,5
8.2,0.23,7.5,12,76,9.7,6
7.4,0.24,14,48,198,8.9,6
7.4,0.24,14,48,198,8.9,6
6.1,0.32,1.5,38,124,12.4,7
5.2,0.44,1.4,43,119,12.1,8
5.2,0.44,1.4,43,119,12.1,8
6.1,0.32,1.5,38,124,12.4,7
6.4,0.22,14.5,27,159,9.1,5
6.3,0.36,4.8,14,85,10.6,5
